urn,label,description,data,link
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:17,Sintia,"An ancient place, cited: BAtlas 50 D2 Sintia","coordinates=""41.397636, 23.207402""",http://pleiades.stoa.org/places/491719
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:19,Acheron (river),A river of Epirus.,"coordinates=""39.2348296, 20.4831346""",http://pleiades.stoa.org/places/530769
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:20,Asteria (island),"An ancient place, cited: BAtlas 54 C5 Asteria Ins.","coordinates=""38.4316, 20.5981""",http://pleiades.stoa.org/places/530816
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:21,Cephallania (island),The largest of the Ionian islands.,"coordinates=""38.2, 20.59""",http://pleiades.stoa.org/places/530826
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:22,Dodona,"An ancient site of northwestern Epirus, Dodona was home to one of the most ancient oracular traditions of the Hellenic world.","coordinates=""39.54643627193697, 20.78773144481574""",http://pleiades.stoa.org/places/530843
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:23,Dolicha? Ins.,"An ancient place, cited: BAtlas 54 D5 Dolicha? Ins.","coordinates=""38.25, 21.25""",http://pleiades.stoa.org/places/530845
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:24,Ephyra/Kichyros,"An ancient place, cited: BAtlas 54 C3 Ephyra/Kichyros","coordinates=""39.246912, 20.527922""",http://pleiades.stoa.org/places/530870
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:25,Ithaca (island),"An ancient place, cited: BAtlas 54 C5 Ithaca Ins.","coordinates=""38.34, 20.71""",http://pleiades.stoa.org/places/530906
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:26,Nerikos?,"An ancient place, cited: BAtlas 54 C4 Nerikos?","coordinates=""38.792331, 20.735417""",http://pleiades.stoa.org/places/531012
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:27,Same,"An ancient place, cited: BAtlas 54 C5 Same","coordinates=""38.254596, 20.658925""",http://pleiades.stoa.org/places/531093
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:28,Syria,"An ancient place, cited: BAtlas 54 C5 Syria","coordinates=""38.1986325, 20.679333""",http://pleiades.stoa.org/places/531109
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:29,Taphos (island),"An ancient place, cited: BAtlas 54 C4 Taphos Ins.","coordinates=""38.652, 20.77""",http://pleiades.stoa.org/places/531114
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:30,Thesprotia,One of the three main ancient tribes of Epirus.,"coordinates=""39.51724200831208, 20.789351070564038""",http://pleiades.stoa.org/places/531117
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:31,Zacynthus,"An ancient place, cited: BAtlas 54 inset Zacynthus","coordinates=""37.787178, 20.892091""",http://pleiades.stoa.org/places/531154
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:32,Calydon,"An ancient Greek city of Aetolia that derives its name from its founder Calydon, son of Aetolus.","coordinates=""38.372926, 21.533182500000002""",http://pleiades.stoa.org/places/540699
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:33,Chalcis,"An ancient place, cited: BAtlas 55 F4 Chalcis","coordinates=""38.457139, 23.621937""",http://pleiades.stoa.org/places/540703
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:34,Delphi,"The ancient pan-Hellenic sanctuary of Delphi in Greece, seat of the oracle of Apollo.","coordinates=""38.482289, 22.501169""",http://pleiades.stoa.org/places/540726
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:35,Euboea (island),Euboea is the second largest Greek island by area and is separated from the Greek mainland by the Euripus Strait.,"coordinates=""38.53, 23.87""",http://pleiades.stoa.org/places/540775
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:36,Iolkos,"Iolkos was an ancient city located in Magnesia, Thessaly, Greece.","coordinates=""39.366305, 22.96886""",http://pleiades.stoa.org/places/540837
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:37,Oichalia,"An ancient place, cited: BAtlas 55 B3 Oichalia","coordinates=""38.9083155, 21.765085149999997""",http://pleiades.stoa.org/places/540970
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:38,Orchomenos/Orchomenus,"The so-called ""Boeotian Orchomenos"", located in the vicinity of the Byzantine church of Panaghia Skripou. The longer, modern title is used to distinguish this settlement from another Greek site with the same ancient name located in Arcadia in the Peloponnese.","coordinates=""38.49457533333334, 22.978315""",http://pleiades.stoa.org/places/540987
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:39,Ossa (mountain),"A mountain in central Greece (between Olympus and Pelion), important in Greek mythology. Several ancient cities and a shrine to the Muses were located on its western slopes.","coordinates=""39.7957751, 22.6851958""",http://pleiades.stoa.org/places/540993
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:40,Panopeos/Phanotis,A city of Phocis on the Boeotian frontier.,"coordinates=""38.498702, 22.822117""",http://pleiades.stoa.org/places/541008
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:41,Parnassus (mountain),A mountain of central Greece located north of the Gulf of Corinth. In Greek mythology Parnassus was sacred to Apollo and was the home of the Muses.,"coordinates=""38.535435, 22.621902""",http://pleiades.stoa.org/places/541012
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:42,Pherai,Pherai was an ancient city of Thessaly in the district of Pelasgiotis.,"coordinates=""39.379043, 22.753851""",http://pleiades.stoa.org/places/541044
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:43,Phthiotis,"An ancient place, cited: BAtlas 55 C2 Phthiotis","coordinates=""38.8678937, 22.6337672""",http://pleiades.stoa.org/places/541052
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:44,Phylake,"An ancient place, cited: BAtlas 55 D2 Phylake","coordinates=""39.289349, 22.762367""",http://pleiades.stoa.org/places/541053
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:45,Scyrus (island),The island of Skyros in the Aegean Sea.,"coordinates=""38.85, 24.56""",http://pleiades.stoa.org/places/541093
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:46,Thebai/Thebae,The ancient city of Thebes in Boeotia (modern Greece).,"coordinates=""38.319156, 23.317577""",http://pleiades.stoa.org/places/541138
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:47,Aegae,"An ancient place, cited: BAtlas 56 E4 Aegae","coordinates=""38.83379, 27.19367""",http://pleiades.stoa.org/places/550404
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:48,Chios (island),Chios is the fifth largest of the Greek islands.,"coordinates=""38.414, 26.053""",http://pleiades.stoa.org/places/550497
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:49,Ilium/Troia,An ancient city of northwest Anatolia with occupation ranging from the Bronze Age to the Roman period. Troy features as the central setting of Homer's Iliad.,"coordinates=""39.95743278441429, 26.23845862267349""",http://pleiades.stoa.org/places/550595
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:50,Lemnos (island),"An ancient place, cited: BAtlas 56 A2 Lemnos Ins.","coordinates=""39.916667, 25.25""",http://pleiades.stoa.org/places/550693
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:51,Lesbos (island),"Lesbos is an island of the northeastern Aegean Sea and was named for the son of Lapithos, the descendant of Deucalion and Helen.","coordinates=""39.16901707159906, 26.250159394099608""",http://pleiades.stoa.org/places/550696
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:52,Mimas (mountain),Boz Dağ.,"coordinates=""38.5885485, 26.469511""",http://pleiades.stoa.org/places/550744
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:53,Psyra (island),"An ancient place, cited: BAtlas 56 B4 Psyra Ins.","coordinates=""38.567, 25.586""",http://pleiades.stoa.org/places/550846
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:54,Tenedos (island),An island located in the Aegean Sea 5 km off the coast of Troas.,"coordinates=""39.816667, 26.05""",http://pleiades.stoa.org/places/550912
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:55,Achaea/Achaia (region),An ancient Greek region on the northern coast of the Peloponnese.,"coordinates=""38.102121472776034, 22.224585911364017""",http://pleiades.stoa.org/places/570028
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:56,Alphe(i)os (river),The longest river of the Peloponnesus.,"coordinates=""37.6125, 21.451667""",http://pleiades.stoa.org/places/570067
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:57,Argos,Argos was a city of ancient Greece that reached its cultural highpoint under Pheidon in the seventh century BC.,"coordinates=""37.631561, 22.719464""",http://pleiades.stoa.org/places/570106
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:58,Elis (city),Elis was an ancient city that served as the capital of the district of the same name.,"coordinates=""37.891781, 21.375091""",http://pleiades.stoa.org/places/570220
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:59,Erymanthos M.,"An ancient place, cited: BAtlas 58 B2 Erymanthos M.","coordinates=""37.966667, 21.833333""",http://pleiades.stoa.org/places/570238
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:60,Geraistos Pr.,"An ancient place, cited: BAtlas 58 H2 Geraistos Pr.","coordinates=""37.75, 24.75""",http://pleiades.stoa.org/places/570259
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:61,Geren(i)a,"An ancient place, cited: BAtlas 58 C4 Geren(i)a","coordinates=""36.927195, 22.208656""",http://pleiades.stoa.org/places/570261
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:62,Kyllene (mountain),"A mountain in Arcadia (Greece), still known as Kyllene today.","coordinates=""37.9397231, 22.3969314""",http://pleiades.stoa.org/places/570391
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:63,Kythera,"An ancient place, cited: BAtlas 58 inset Kythera","coordinates=""36.262287, 22.978222""",http://pleiades.stoa.org/places/570400
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:64,Lacedaemon/Laconia,Lacedaemon/Laconia is a region comprising the south-eastern part of the Peloponnese.,"coordinates=""37.075742175, 22.460186899999997""",http://pleiades.stoa.org/places/570406
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:65,Lapithos (mountain),Lapithas.,"coordinates=""37.75, 21.75""",http://pleiades.stoa.org/places/570414
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:66,Malea,"An ancient place, cited: BAtlas 58 C3 Malea","coordinates=""37.327556, 22.168781""",http://pleiades.stoa.org/places/570454
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:67,Malea Pr.,Cape Maleas is a cape located in the southeast of the Peloponnese.,"coordinates=""36.25, 23.25""",http://pleiades.stoa.org/places/570455
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:68,Messene,Capital of Messenia,"coordinates=""37.175491, 21.920439""",http://pleiades.stoa.org/places/570479
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:69,Mycenae,"Mycenae was an ancient settlement of the Argolid, with the earliest occupation evident ca. 2900 B.C. As the eponymous site of the Mycenaean culture of the Aegean Bronze Age, the site flourished as a fortified citadel during the mid to late second millennium B.C. In the first millennium B.C., the site experienced a revival of fortunes, although by Strabo's time the settlement had vanished.","coordinates=""37.730034571139996, 22.7540710459""",http://pleiades.stoa.org/places/570491
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:70,Olympia,Ancient sanctuary of Zeus and home of the ancient Olympic games.,"coordinates=""37.63868942058394, 21.630874780357008""",http://pleiades.stoa.org/places/570531
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:71,Pylos,"An archaic through Roman settlement located at the Armatova hill, west of Agrapidochori in Ileia in the Peloponnese.","coordinates=""37.899734, 21.518025""",http://pleiades.stoa.org/places/570639
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:72,Pylos/Koryphasion,"A Classical settlement, probably the Pylos of Thucydides, on the Koryphasion promontory, (modern Akr. Koryphasiou in Messenia) in the Peloponnese.","coordinates=""36.9520305, 21.659888""",http://pleiades.stoa.org/places/570640
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:73,Sparta,Sparta was a prominent city-state (polis) of ancient Greece.,"coordinates=""37.077905, 22.4272985""",http://pleiades.stoa.org/places/570685
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:74,Styx (river),"An ancient place, cited: BAtlas 58 C1 Styx fl.","coordinates=""38.25, 22.25""",http://pleiades.stoa.org/places/570698
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:77,"Athena, T.",The Temple of Athena at Sounion is an Ionic temple of the fifth century B.C. built atop the foundations of an earlier temple.,"coordinates=""37.6529248, 24.02708285""",http://pleiades.stoa.org/places/579884
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:78,Athenae,A major Greek city-state and the principal city of Attika. Modern Athens in Greece.,"coordinates=""37.972633872615816, 23.722746101726134""",http://pleiades.stoa.org/places/579885
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:79,Marathon,"An ancient place, cited: BAtlas 59 C2 Marathon","coordinates=""38.1465515, 23.970146""",http://pleiades.stoa.org/places/580021
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:80,Creta (island),The island of Crete is the largest of the Greek islands and the fifth-largest island in the Mediterranean Sea.,"coordinates=""35.219518451031014, 24.984579005240445""",http://pleiades.stoa.org/places/589748
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:81,Eileithyias Antron,"The Cave of Eileithyia on Crete is an ancient sanctuary sacred to the goddess of childbirth. The shrine was active during Neolithic, Minoan, and Mycenaean phases.","coordinates=""35.318405, 25.21053""",http://pleiades.stoa.org/places/589769
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:82,Gortyn(a),"The Roman capital of Creta et Cyrenaica province, then Creta, and later seat of the Archbishop of Crete, Gortyna was a thriving community from the Geometric period to the Middle Byzantine period. The first traces of urban settlement date from the Archaic period. The ancient Greek law code known as the ""Gortyn Code"" was discovered there in 1884.","coordinates=""35.062720166666665, 24.946943722222223""",http://pleiades.stoa.org/places/589796
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:83,‘Ketia’? Pr.,"An ancient place, cited: BAtlas 60 F2 ‘Ketia’? Pr.","coordinates=""35.25, 26.25""",http://pleiades.stoa.org/places/589864
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:84,Knosos/Col. Iulia Nobilis Cnosos,"A major ancient settlement of Crete located some 5 km southeast of Heraklion, Knossos was occupied from the Neolithic period to the time of the Roman empire.","coordinates=""35.297847, 25.163106""",http://pleiades.stoa.org/places/589872
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:85,Kydonia,"An ancient settlement on Crete inhabited since the Neolithic period, Kydonia has been a major center of Minoan, Greek, and Byzantine civilization.","coordinates=""35.515775, 24.01869""",http://pleiades.stoa.org/places/589886
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:86,Lato,"Lato was an ancient city of Crete, a Dorian city-state located on Mirabello Bay. The principal ruins date to the fifth and fourth centuries B.C. and the city was destroyed ca. 200 B.C.","coordinates=""35.1785382, 25.65567205""",http://pleiades.stoa.org/places/589899
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:87,Phaistos,"An ancient settlement on Crete where occupation began ca. 3000 B.C., Phaistos was a major center of the Minoan civilization and continued to be a Greek city of the first millennium B.C.","coordinates=""35.0511785, 24.8141725""",http://pleiades.stoa.org/places/589987
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:88,Delos (settlement),"The ancient settlement of Delos, located on the Aegean island of the same name.","coordinates=""37.397274, 25.268194""",http://pleiades.stoa.org/places/599587
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:89,Dia? (island),"An ancient place, cited: BAtlas 61 B4 Dia? Ins.","coordinates=""36.8896626, 25.9021818""",http://pleiades.stoa.org/places/599590
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:90,Ortygia,"An ancient place, cited: BAtlas 61 E2 Ortygia","coordinates=""37.829783, 27.339225""",http://pleiades.stoa.org/places/599840
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:91,Samos (island),The island of Samos.,"coordinates=""37.73, 26.84""",http://pleiades.stoa.org/places/599926
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:92,Phoenice (region),Ancient Phoenicia.,"coordinates=""33.25, 35.25""",http://pleiades.stoa.org/places/678334
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:93,Sidon/Col. Aurelia Pia,Sidon/Col. Aurelia Pia is an ancient maritime city and Phoenician metropolis,"coordinates=""33.560328, 35.37324""",http://pleiades.stoa.org/places/678393
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:94,Cyprus (island),Third largest island in the Mediterranean Sea.,"coordinates=""35.03226569576321, 33.25778319195364""",http://pleiades.stoa.org/places/707498
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:95,(Nea) Paphos,"The legendary birthplace of the goddess Aphrodite, (Nea) Paphos has been a center of activity since the Final Bronze Age when Mycenaeans honored the goddess there. The site was listed on the UNESCO World Heritage List in 1980.","coordinates=""34.757212, 32.406593""",http://pleiades.stoa.org/places/707586
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:96,Libya,"An ancient place, cited: None","coordinates=""31.5, 26.5""",http://pleiades.stoa.org/places/716588
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:97,Nilus (river),"The Nile is a major river of northeastern Africa and is generally acknowledged as the longest river in the world, measuring some 6,650 km (4,130 miles) from source to mouth.","coordinates=""19.211408766666665, 30.567329633333333""",http://pleiades.stoa.org/places/727172
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:98,Pharos,"The Pharos lighthouse of Alexandria, one of the Seven Wonders of the Ancient World, was built under the Ptolemies between 280 and 247 BC.","coordinates=""31.214039, 29.885368""",http://pleiades.stoa.org/places/727197
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:101,Libya Inferior,"An ancient place, cited: BAtlas 101 M5 Libya Inferior","coordinates=""32.5, 27.5""",http://pleiades.stoa.org/places/991388
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:102,Egypt,Country spanning the northeast corner of Africa and southwest corner of Asia,"coordinates=""27, 30""",http://sws.geonames.org/357994
urn:cite2:beyond-translation.scaife-viewer.org:place.v1:103,East Macedonia and Thrace,administrative region of Greece,"coordinates=""40.94671, 25.33447""",http://sws.geonames.org/6697803
