Title3,Following Perseus,Greek,English,Benjamin Jowett,Schleiermacher,Primary translation,Literal translation,Secondary translation
0059-003|11.|Cr.43b.3.,0059-003|10.|Cr.43b.2.,"Κρίτων. οὐ μὰ τὸν Δία, ὦ Σώκρατες, οὐδ᾽ ἂν αὐτὸς ἤθελον ἐν τοσαύτῃ τε ἀγρυπνίᾳ καὶ λύπῃ εἶναι, ἀλλὰ καὶ σοῦ πάλαι θαυμάζω αἰσθανόμενος ὡς ἡδέως καθεύδεις:  ","Crito. No, no, by Zeus, Socrates, I only wish I myself were not so sleepless and sorrowful. But I have been wondering at you for some time, seeing how sweetly you sleep; ","Cr. Why, indeed, Socrates, I myself would rather not have all this sleeplessness and sorrow. But I have been wondering at your peaceful slumbers,","Kriton: Nein, beim Zeus, Sokrates, wollte ich doch selbst lieber nicht so lange gewacht haben in solcher Betrübnis. Aber sogar dir habe ich schon lange verwundert zugesehen, wie sanft du schliefst; ","کریتون: ای سقراط، سوگند به زئوس نه، که خود نمی‌خواستم در چنین بی‌خوابی و رنجی باشم، و از این گذشته دیربازی‌ست محو تماشای تو هستم که چگونه آرام خفته‌ای؛
",کریتون: نه به زئوس، ای سقراط، که خود بودن در چنین بی خوابی و رنجی را نمی خواستم، لیک چندی [است] از دیدن تو که چه آسوده می‌خوابی نیز در شگفتم،,کریتون: به زئوس قسم، ای سقراط، خودِ من نمی‌خواستم این‌چنین در بی‌خوابی و رنج باشم، و دیگر اینکه دیر زمانی‌ست بر تو نگریسته، در شگفتم که چه سان آسوده خفته‌ای،
0059-003|12.|Cr.43b.4.,0059-003|10.|Cr.43b.2.,καὶ ἐπίτηδές σε οὐκ ἤγειρον ἵνα ὡς ἥδιστα διάγῃς.,"and I purposely refrained from waking you, that you might pass the time as pleasantly as possible.","and that was the reason why I did not awaken you, because I wanted you to be out of pain. ","und recht wohlbedächtig habe ich dich nicht geweckt, damit dir die Zeit noch recht sanft hingehe. ",و عمداً بیدارت نکردم تا چندی را به‌خوشی سپری کنی.,و عمداً تو را بیدار نکردم تا این چنین در آسوده‌ترین حالت سپری کنی.,و به عمد بیدارت نکردم تا به بهترین حالت [وقت] بگذرانی.
0059-003|13.|Cr.43b.5.,0059-003|10.|Cr.43b.2.,"καὶ πολλάκις μὲν δή σε καὶ πρότερον ἐν παντὶ τῷ βίῳ ηὐδαιμόνισα τοῦ τρόπου, πολὺ δὲ μάλιστα ἐν τῇ νῦν παρεστώσῃ συμφορᾷ, ὡς ῥᾳδίως αὐτὴν καὶ πρᾴως φέρεις.","I have often thought throughout your life hitherto that you were of a happy disposition, and I think so more than ever in this resent misfortune, since you bear it so easily and calmly.","I have always thought you happy in the calmness of your temperament; but never did I see the like of the easy, cheerful way in which you bear this calamity.","Denn oft schon freilich auch sonst im ganzen Leben habe ich dich glücklich gepriesen deiner Gemütsart wegen, bei weitem aber am meisten bei dem jetzigen Unglück wie leicht und gelassen du es erträgst.",تا کنون اغلب تو را در طول زندگانی‌ات به دلیل منش‌ات سعادتمند قلمداد کرده‌ام و اکنون بیش از پیش، که چه سهل و آرام این بداقبالی کنونی را متحمل شده‌ای.,به راستی پیشتر نیز اغلب تو را در سراسر زندگی‌ بهر منشت نیکبخت می‌پنداشتم، اما اکنون در این تیره‌بختی پیش‌آمده بسی بیشتر، که چنین به آسودگی و سبکبالی آن را تاب می آوری.,و نیز بارها بهرِ مسلک‌ات در تمام زندگی تو را شادمان می‌دانستم و حال در این مصیبتِ واردشده‌ی اخیر بسی بیشتر، که بدین سان سهل و آرام تحملش می‌کنی.
0059-003|14.|Cr.43c.1.,0059-003|11.|Cr.43b.3.,"Σωκράτης. καὶ γὰρ ἄν, ὦ Κρίτων, πλημμελὲς εἴη ἀγανακτεῖν τηλικοῦτον ὄντα εἰ δεῖ ἤδη τελευτᾶν.","Socrates. Well, Crito, it would be absurd if at my age I were disturbed because I must die now.","Soc. Why, Crito, when a man has reached my age he ought not to be repining at the prospect of death.","Sokrates: Es wäre ja auch frevelhaft, o Kriton, mich in solchem Alter unwillig darüber zu gebärden, wenn ich endlich sterben muß.", سقراط: باری، ای کریتون، اگر بایستی اکنون بمیرم، برآشفتگی در سن و سال من ناشایست خواهد بود.,سقراط: به همین دلیل، ای کریتون، آشفته شدن در این سن نابسزا باشد اگر می‌بایست حال به فرجامِ عمر رسیدن.,سقراط: ای کریتون، شرم‌آور خواهد بود اگر در این سن و سال مشوش شوم که اکنون باید بمیرم.
0059-003|15.|Cr.43c.2.,0059-003|14.|Cr.43c.1.,"Κρίτων. καὶ ἄλλοι, ὦ Σώκρατες, τηλικοῦτοι ἐν τοιαύταις συμφοραῖς ἁλίσκονται, ἀλλ᾽ οὐδὲν αὐτοὺς ἐπιλύεται ἡ ἡλικία τὸ μὴ οὐχὶ ἀγανακτεῖν τῇ παρούσῃ τύχῃ.","Crito. Other men as old, Socrates, become involved in similar misfortunes, but their age does not in the least prevent them from being disturbed by their fate.","Cr. And yet other old men find themselves in similar misfortunes, and age does not prevent them from repining.","Kriton: Werden doch auch Andere, Sokrates, eben so bejahrte von solchem Unglück bestrickt; aber ihr Alter schützt sie nicht davor, sich nicht unwillig zu gebärden gegen das eintretende Geschick.", کریتون: ای سقراط ! دیگرانی هم در این سن به چنین بداقبالی‌هایی دچار می‌گردند، با این حال سن‌، آنان را به هیچ روی از برآشفتگی به نزد فرجام خویش نرهانیده است., کریتون: دیگر سالخوردگانی نیز، ای سقراط، به چنین تیره‌بختی‌هایی گرفتار می‌شوند، لیکن سن‌ هیچ‌کدام‌شان را از آشفته شدن بهرِ تقدیر پیش‌آمده‌شان نمی‌رهاند., کریتون: و نیز مردان دیگری، ای سقراط، با همین سن در این چنین مصیبت‌هایی گرفتار آمده‌اند، ولی ابداً سن‌ و‌ سال آنها را از مشوش شدن در محضر سرنوشت بازنمی‌دارد.
0059-003|16.|Cr.43c.3.,0059-003|15.|Cr.43c.2.,Σωκράτης. ἔστι ταῦτα. ,Socrates. That is true. ,Soc. That may be. ,Sokrates: Wohl wahr! , سقراط: درست است., سقراط: چنین است., سقراط: همینطور است.
0059-003|17.|Cr.43c.4.,0059-003|15.|Cr.43c.2.,ἀλλὰ τί δὴ οὕτω πρῲ ἀφῖξαι;,But why have you come so early?,But you have not told me why you come at this early hour.,Aber warum doch bist du so früh gekommen?,اما از چه روی این سان زود آمده‌ای؟,باری حال برای چه این‌قدر زود آمده‌ای؟,لیکن چرا چنین زودهنگام آمده‌ای؟
0059-003|18.|Cr.43c.5.,0059-003|16.|Cr.43c.3.,"Κρίτων. ἀγγελίαν, ὦ Σώκρατες, φέρων χαλεπήν, οὐ σοί, ὡς ἐμοὶ φαίνεται, ἀλλ᾽ ἐμοὶ καὶ τοῖς σοῖς ἐπιτηδείοις πᾶσιν καὶ χαλεπὴν καὶ βαρεῖαν, ἣν ἐγώ, ὡς ἐμοὶ δοκῶ, ἐν τοῖς βαρύτατ᾽ ἂν ἐνέγκαιμι.","Crito. To bring news, Socrates, sad news, though apparently not sad to you, but sad and grievous me and all your friends, and to few of them, I think, so grievous as to me.","Cr. I come to bring you a message which is sad and painful; not, as I believe, to yourself but to all of us who are your friends, and saddest of all to me.","Kriton: Um dir eine traurige Botschaft zu bringen, Sokrates. Nicht dir, wie ich wohl sehe, aber mir und allen deinen Freunden traurig und schwer, und die ich wie mich dünkt ganz besonders am schwersten ertragen werde.", کریتون: آورنده‌ی خبری ناگوار هستم، ای سقراط، نه برای تو، آنگونه که برای من آشکار است، اما برای من و همه‌ی دوستدارانت البته سخت و ناگوار، چه به نظرم می‌آید در بین آنان برای من ناگوارترین باشد., کریتون: پیامی دشوار را آورنده‌ [ام]، ای سقراط، البته نه برای تو، آن‌گونه که بر من پیداست، بلکه بس دشوار و گران برای من و جُمله یاران‌ات، چنان‌که می‌پندارم در بین آنان من [آن را] گران‌ترین بر دوش کشیدمی., کریتون: سقراط، حامل خبری طاقت‌فرسا هستم، نه برای تو، چنانکه بر من پیداست، اما طاقت‌فرسا و گران برای من و همه‌ی دوستان تو. چه‌بسا چنانکه می‌پندارم در میان آن‌ها برای من از همه بیشتر گران می‌آید.
0059-003|19.|Cr.43c.6.,0059-003|20.|Cr.43d.1.,Σωκράτης. τίνα ταύτην;,Socrates. What is this news?,Soc. What! ,Sokrates: Was doch für eine? ,سقراط: چه خبری؟,سقراط: چه [باشد] آن؟,سقراط: این [خبر] چیست؟
0059-003|20.|Cr.43d.1.,0059-003|20.|Cr.43d.1.,"ἢ τὸ πλοῖον ἀφῖκται ἐκ Δήλου, οὗ δεῖ ἀφικομένου τεθνάναι με;","Has the ship come from Delos, at the arrival of which I am to die?","I suppose that the ship has come from Delos, on the arrival of which I am to die?","Ist etwa das Schiff aus Delos zurückgekommen, nach dessen Ankunft ich sterben soll?",آیا آن کشتی که رسیدنش از دلوس مقتضی مرگ من است رسیده است؟,مگر آن کشتی، که با ورودش مرا می‌بایست مردن، از دلوس رسیده است؟, مگر آن کشتی از دلوس رسیده است، همان که با آمدن‌اش می‌بایست مرا بدرود حیات گفتن؟
0059-003|21.|Cr.43d.2.,0059-003|21.|Cr.43d.2.,"Κρίτων. οὔτοι δὴ ἀφῖκται, ἀλλὰ δοκεῖν μέν μοι ἥξει τήμερον ἐξ ὧν ἀπαγγέλλουσιν ἥκοντές τινες ἀπὸ Σουνίου καὶ καταλιπόντες ἐκεῖ αὐτό. ","Crito. It has not exactly come, but I think it will come today from the reports of some men who have come from Sunium and left it there. ","Cr. No, the ship has not actually arrived, but she will probably be here to-day, as persons who have come from Sunium tell me that they have left her there; ","Kriton: Noch ist es zwar nicht hier, aber ich glaube doch es wird heute kommen, nach dem was Einige von Sunion gekommene berichten, die es dort verlassen haben.", کریتون: فعلاً نرسیده است، اما طبق گزارشات آنانی که از سونیون آمده‌اند و کشتی را درآنجا واگذاشتند گمان می‌کنم امروز برسد., کریتون: هنوز نرسیده است، اما به نظرم می‌رسد امروز خواهد آمد، از آنجایی که کسانی که از سونیون آمده و آن [کشتی] را بدانجا وانهاده‌اند خبر آورده‌اند., کریتون: هنوز نیامده است، اما از آنجا که برخی افرادی که از سونیون آمده و کشتی را آنجا گذاشته چنین خبر می‌دهند، فکر می‌کنم امروز خواهد آمد.
0059-003|22.|Cr.43d.3.,0059-003|21.|Cr.43d.2.,"δῆλον οὖν ἐκ τούτων τῶν ἀγγέλων ὅτι ἥξει τήμερον, καὶ ἀνάγκη δὴ εἰς αὔριον ἔσται, ὦ Σώκρατες, τὸν βίον σε τελευτᾶν.","Now it is clear from what they say that it will come today, and so tomorrow, Socrates, your life must end.","and therefore to-morrow, Socrates, will be the last day of your life.","Aus dieser Nachricht nun ergibt sich, daß es heute kommt,",از این پیام‌آوران بَس هویدا که امروز خواهد آمد، ای سقراط ! چه آنگاه فردا به فرجام رسیدنِ عمر تو ناگزیر است.,بنابراین از این پیام‌آوران آشکار [است] که امروز خواهد رسید، و اینک فردا، ای سقراط، خاتمه‌یافتن زندگی تو بایسته خواهد بود.,از آن پیام‌آوران پیداست که امروز می‌آید؛ پس، ای سقراط، فردا به پایان رسیدنِ زندگی‌ات حتمی خواهد بود.
0059-003|23.|Cr.43d.4.,0059-003|22.|Cr.43d.3.,"Σωκράτης. ἀλλ᾽, ὦ Κρίτων, τύχῃ ἀγαθῇ, εἰ ταύτῃ τοῖς θεοῖς φίλον, ταύτῃ ἔστω: ","Socrates. Well, Crito, good luck be with us! If this is the will of the gods, so be it. ","Soc. Very well, Crito; if such is the will of God, I am willing;","Sokrates: Also, o Kriton, Glück auf! Wenn es den Göttern so genehm ist, sei es so. ", سقراط: باری ای کریتون، هر چه پیش آید خیر است. اگر مُرادِ خدایان بر این باشد، چنین باد., سقراط: اما ای کریتون، نیک بختی [است]. اگر خدایان بدین خوش [دارند]، چنین باشد. , سقراط: لیک ای کریتون، خوشا بدین بخت، اگر خدایان را خشنودی بدین سان است، ایدون باد.
0059-003|24.|Cr.43d.5.,0059-003|22.|Cr.43d.3.,οὐ μέντοι οἶμαι ἥξειν αὐτὸ τήμερον.,"However, I do not think it will come today.",but my belief is that there will be a delay of a day.,"Jedoch glaube ich nicht, daß es heute kommt.",هرچند فکر نمی‌کنم که امروز بیاید.,گرچه رسیدنِ آن [کشتی] بدین روز را باور ندارم.,لیکن تصور نمی‌کنم امروز آن برسد.
0059-003|25.|Cr.44a.1.,0059-003|25.|Cr.44a.1.,Κρίτων. πόθεν τοῦτο τεκμαίρῃ;,Crito. What is your reason for not thinking so?,Cr. Why do you say this?,Kriton: Woher vermutest du das?, کریتون: از چه رو چنین ادعا می‌کنی؟, کریتون: از کجا این را استنتاج می‌کنی؟, کریتون: از کجا چنین گمانی داری؟
0059-003|26.|Cr.44a.2.,0059-003|26.|Cr.44a.2.,Σωκράτης. ἐγώ σοι ἐρῶ. ,Socrates. I will tell you. ,Soc. I will tell you. ,Sokrates: Das will ich dir sagen. , سقراط: برایت توضیح می‌دهم. , سقراط: من برای تو خواهم گفت. , سقراط: من به تو خواهم گفت.
0059-003|27.|Cr.44a.3.,0059-003|26.|Cr.44a.2.,τῇ γάρ που ὑστεραίᾳ δεῖ με ἀποθνῄσκειν ἢ ᾗ ἂν ἔλθῃ τὸ πλοῖον.,"I must die on the day after the ship comes in, must I not?",I am to die on the day after the arrival of the ship?,"Ich soll doch an dem folgenden Tage sterben, nachdem das Schiff gekommen ist.",مگر نه این که فردای روزی که کشتی بیاید باید بمیرم؟,گویا فردای آن که کشتی فرا برسد مرا مردن می‌بایست.,از این رو که فردای آن که کشتی برسد، مردنم حتمی است.
0059-003|28.|Cr.44a.4.,0059-003|27.|Cr.44a.3.,Κρίτων. φασί γέ τοι δὴ οἱ τούτων κύριοι.,Crito. So those say who have charge of these matters.,Cr. Yes; that is what the authorities say.,Kriton: So sagen wenigstens die darüber zu gebieten haben., کریتون: متولیانش که اینطور می‌گویند., کریتون: اولیای امور که چنین می‌گویند., کریتون: حداقل آمرانِ امور که چنین می‌گویند.
0059-003|29.|Cr.44a.5.,0059-003|28.|Cr.44a.4.,Σωκράτης. οὐ τοίνυν τῆς ἐπιούσης ἡμέρας οἶμαι αὐτὸ ἥξειν ἀλλὰ τῆς ἑτέρας. ,"Socrates. Well, I think it will not come in today, but tomorrow. ",Soc. But I do not think that the ship will be here until to-morrow; ,"Sokrates: Daher glaube ich nun nicht, daß es an dem jetzt anbrechenden Tage kommen wird, sondern erst an dem nächsten. ",سقراط: کنون به نظرم می‌آید آن کشتی نه امروز بلکه فردا می‌رسد.,سقراط: حال گمان می‌کنم آن نه در روز جاری، بلکه دیگر [روز] خواهد آمد. ,سقراط: همانا می‌دانم که آن کشتی در اثنای روز پیشِ رو نخواهد آمد، بلکه فردا می‌رسد.
0059-003|30.|Cr.44a.6.,0059-003|28.|Cr.44a.4.,τεκμαίρομαι δὲ ἔκ τινος ἐνυπνίου ὃ ἑώρακα ὀλίγον πρότερον ταύτης τῆς νυκτός: ,And my reason for this is a dream which I had a little while ago in the course of this night. ,"this I gather from a vision which I had last night, or rather only just now, ","Ich schließe das aber aus einem Traume, den ich vor einer kleinen Weile in dieser Nacht gesehen habe, ",و استدلال من از رویایی‌ ست که اندکی پیش در اثنای شب دیده‌ام.,گواهم از رویایی‌ ست که قدری پیشتر در این شب دیده‌ام.,شاهدم خوابی است که امشب اندک زمانی پیش دیده‌ام.
0059-003|31.|Cr.44a.7.,0059-003|28.|Cr.44a.4.,καὶ κινδυνεύεις ἐν καιρῷ τινι οὐκ ἐγεῖραί με.,And perhaps you let me sleep just at the right time.,when you fortunately allowed me to sleep.,"und beinahe mag es sich recht gelegen gefügt haben, daß du mich nicht aufgeweckt hast.",چه بجا از بیدار کردن من حذر کردی.,پس در وقت مساعدی به بیدارنکردن من مبادرت ورزیدی.,چه به موقع برآن شدی که مرا بیدار نگردانی.
0059-003|32.|Cr.44a.8.,0059-003|29.|Cr.44a.5.,Κρίτων. ἦν δὲ δὴ τί τὸ ἐνύπνιον;,Crito. What was the dream?,Cr. And what was the nature of the vision?,Kriton: Und was träumte dir?,کریتون: اما مگر آن رویا چه بود؟,کریتون: و حال چه بود آن رویا؟,کریتون: و اما خوابت چه بود؟
0059-003|33.|Cr.44b.1.,0059-003|30.|Cr.44a.6.,"Σωκράτης. ἐδόκει τίς μοι γυνὴ προσελθοῦσα καλὴ καὶ εὐειδής, λευκὰ ἱμάτια ἔχουσα, καλέσαι με καὶ εἰπεῖν: ","Socrates. I dreamed that a beautiful, fair woman, clothed in white raiment, came to me and called me and said, ","Soc. There came to me the likeness of a woman, fair and comely, clothed in white raiment, who called to me and said: ","Sokrates: Es kam mir vor, als ob eine schöne wohlgestaltete Frau mit weißen Kleidern angetan auf mich zukam, mich anrief und mir sagte: ",سقراط: خواب دیدم زنی شایسته و زیبا، با ردایی سفید در بر، نزد من آمده، مرا صدا کرد و گفت:,سقراط: می‌پنداشتم زنی نیکو و زیباروی، هیماتیون سپید پوشیده، نزدیک آمده، مرا فراخواند و گفت: ,سقراط: زنی زیبا و خوش‌سیما، آراسته به جامه‌ای سپید، بر من پدیدار شد و به سوی من آمد، مرا فراخواند و گفت:
0059-003|34.|Cr.44b.2.,0059-003|30.|Cr.44a.6.,"‘ὦ Σώκρατες, “ἤματί κεν τριτάτῳ Φθίην ἐρίβωλον ἵκοιο.”","“Socrates, on the third day thou wouldst come to fertile Phthia.”","O Socrates- ""The third day hence, to Phthia shalt thou go.""
","O Sokrates, möchtest du am dritten Tag in die schollige Phthia gelangen.",«ای سقراط، در روز سوم به سرزمین حاصل‌خیز فتیا خواهی رسید.»,«ای سقراط، در روز سوم به فتیای حاصل‌خیز خواهی آمد.»,«ای سقراط، روز سوم به فتیای پربار توانی رسید.»
0059-003|35.|Cr.44b.3.,0059-003|33.|Cr.44b.1.,"Κρίτων. ἄτοπον τὸ ἐνύπνιον, ὦ Σώκρατες.","Crito. A strange dream, Socrates.","Cr. What a singular dream, Socrates!","Kriton: Welch ein sonderbarer Traum, o Sokrates!",کریتون: چه رویای غریبی، ای سقراط.,کریتون: خوابی [است] نامعمول، ای سقراط.,کریتون: شگفت رویایی‌ست، ای سقراط.
0059-003|36.|Cr.44b.4.,0059-003|34.|Cr.44b.2.,"Σωκράτης. ἐναργὲς μὲν οὖν, ὥς γέ μοι δοκεῖ, ὦ Κρίτων.","Socrates. No, a clear one, at any rate, I think, Crito.","Soc. There can be no doubt about the meaning Crito, I think.","Sokrates: Deutlich gewiß, wie mich dünkt, o Kriton!",سقراط: لیکن رویای صادقه به نظرم می‌آید، ای کریتون.,سقراط: اتفاقاً [رویایی] روشن است،این طور که به نظرم می‌رسد، ای کریتون.,سقراط: از قضا می‌پندارم که [رویای] صادقه است، ای کریتون.
0059-003|37.|Cr.44b.5.,0059-003|35.|Cr.44b.3.,"Κρίτων. λίαν γε, ὡς ἔοικεν. ","Crito. Too clear, apparently. ",Cr. Yes: the meaning is only too clear. ,"Kriton: Gar sehr, wie es scheint. ",کریتون: قطعا همینطور به نظر می‌رسد.,کریتون: آری چه بسیار! چندان که پیداست.,کریتون: حتما، به نظر می‌رسد چنین است.
0059-003|38.|Cr.44b.6.,0059-003|35.|Cr.44b.3.,"ἀλλ᾽, ὦ δαιμόνιε Σώκρατες, ἔτι καὶ νῦν ἐμοὶ πιθοῦ καὶ σώθητι:","But, my dear Socrates, even now listen to me and save yourself. ","But, O! my beloved Socrates, let me entreat you once more to take my advice and escape. ","Aber du wunderlicher Sokrates, auch jetzt noch folge mir und rette dich. ",اما ای سقراط عزیز، اکنون نیز گوش با من بدار و خود را برهان.,لیکن ای سقراط والامقام ! حتی دراین دم باز از من پیروی کن و خود را نجات بده.,سقراط گرامی، با این حال باز از من پیروی کرده و جان خویش خلاص کن.
0059-003|39.|Cr.44c.1.,0059-003|35.|Cr.44b.3.,"ὡς ἐμοί, ἐὰν σὺ ἀποθάνῃς, οὐ μία συμφορά ἐστιν, ἀλλὰ χωρὶς μὲν τοῦ ἐστερῆσθαι τοιούτου ἐπιτηδείου οἷον ἐγὼ οὐδένα μή ποτε εὑρήσω, ἔτι δὲ καὶ πολλοῖς δόξω, οἳ ἐμὲ καὶ σὲ μὴ σαφῶς ἴσασιν, ὡς οἷός τ᾽ ὤν σε σῴζειν εἰ ἤθελον ἀναλίσκειν χρήματα, ἀμελῆσαι. ","Since, if you die, it will be no mere single misfortune to me, but I shall lose a friend such as I can never find again, and besides, many persons who do not know you and me well will think I could have saved you if I had been willing to spend money, but that I would not take the trouble. ","For if you die I shall not only lose a friend who can never be replaced, but there is another evil: people who do not know you and me will believe that I might have saved you if I had been willing to give money, but that I did not care. ","Denn für mich ist es nicht Ein Unglück etwa wenn du stirbst: sondern außerdem, daß ich eines solchen Freundes beraubt werde, wie ich nie wieder einen finden kann, werden auch Viele glauben, die mich und dich nicht genau kennen, daß ob ich schon im Stande gewesen wäre dich zu retten, wenn ich einiges Geld aufwenden gewollt, ich es doch verabsäumt hätte. ",چون اگر تو بمیری برای من نه تنها یک بداقبالی است، بلکه از سویی محروم شدن از چنین یاری است که هرگز کسی را مانندش نخواهم یافت، و از سوی دیگر عموم مردم که مرا و تو را به خوبی نمی‌شناسند گمان خواهند کرد که اگر مایل به خرج کردنِ دارایی‌هایم بودم، می‌توانستم تو را نجات دهم، اما اعتنایی نکردم.,چرا که اگر تو بمیری این برای من فقط یک تیره‌بختی نیست، بلکه در واقع، سوای از دست دادن چنین دوستی که من هرگز هیچکس را مانندش پیدا نخواهم کرد؛ هنوز هم اکثریت که مرا و تو را نیک نمی‌شناسند چنین گمان برند که اگر می‌خواستم به پرداختن بهایی نجات دادن تو از من بر می‌آمد [اما] وقعی ننهادم. ,زیرا اگر تو درگذری، برای من تنها یک مصیبت نخواهد بود، بلکه فارغ از بی‌نصیب‌ماندن از دوستی چون تو که من هیچ گاه و نه در هیچ کس بازش نمی‌یابم، برای مردمانی که من و تو را خوب نشناخته‌اند چنین به نظر می‌رسد که من اگر می‌خواستم توانایی نجات دادن تو با خرج پول را داشتم، اما دریغ کردم. 
0059-003|40.|Cr.44c.2.,0059-003|35.|Cr.44b.3.,καίτοι τίς ἂν αἰσχίων εἴη ταύτης δόξα ἢ δοκεῖν χρήματα περὶ πλείονος ποιεῖσθαι ἢ φίλους; ,And yet what reputation could be more disgraceful than that of considering one's money of more importance than one's friends?,"Now, can there be a worse disgrace than this- that I should be thought to value money more than the life of a friend?","Und was für einen schlechteren Ruf könnte es wohl geben, als dafür angesehen sein, daß man das Geld höher achte als die Freunde. ",و افزون بر این کدام بدنامی ننگین‌تر از شهره بودن به اینکه پول در نظرم اولی‌تر از عزیزانم است؟ ,وانگهی چه وجهه‌ایی زشت‌تر از این باور باشد که مادیات را گرامی‌تر از یاران انگاشتن؟ ,با این اوصاف کدام پندار شرم‌آورتر از برتر نهادن مال از دوستان است؟
