ve_ref,value,alt_text,named_entity,pos
6.1.t2,اهل,,,
6.1.t3,نوف,,,
6.1.t4,ذالين,,,
6.1.t5,يا,,,
6.1.t6,اهل,,,
6.1.t7,سوف,,,
6.1.t8,ذالين,,,
6.1.t9,يا,,,
6.1.t10,اهل,,,
6.1.t11,مركو,,,
6.1.t12,كلهم,,,
6.1.t13,هل,,,
6.1.t14,فيكم,,,
6.1.t15,رَجُلَيِن,,,
6.1.t16,صَالِحَيْنِ,,,
6.1.t17,يسمئ,,,
6.1.t18,ذيم,,,
6.1.t19,عوين,,,
6.1.t20,مع,,,
6.1.t21,ذونْ,,,
6.1.t22,عوين,,,
6.1.t23,هذا,,,
6.1.t24,رَجُلينِ,,,
6.1.t25,صَالِحَيْنِ,,,
6.2.t1,كل,,,
6.2.t2,من,,,
6.2.t3,اكل,,,
6.2.t4,انى,,,
6.2.t5,اكلنى,,,
6.2.t6,كل,,,
6.2.t7,من,,,
6.2.t8,يلبس,,,
6.2.t9,اعطئ,,,
6.2.t10,يلبس,,,
6.3.t1,ذيم,,,
6.3.t2,مع,,,
6.3.t3,اخوتى,,,
6.3.t4,يقرءنى,,,
6.3.t5,الانجيل,,,
6.3.t6,الله,,,
6.3.t7,ربنا,,,
6.3.t8,خالصنا,,,
6.3.t9,ومالكنا,,,
6.3.t10,ومصلح,,,
6.3.t11,احوالنا,,,
6.3.t12,حالا,,,
6.3.t13,ومالا,,,
6.3.t14,فضلا,,,
6.3.t15,لا,,,
6.3.t16,وجوبا,,,
6.3.t17,اي,,,
6.3.t18,قدرته,,,
6.4.t1,افتح,,,
6.4.t2,قلبى,,,
6.4.t3,الى,,,
6.4.t4,سبيل,,,
6.4.t5,الهدئ,,,
6.4.t6,الى,,,
6.4.t7,سبيل,,,
6.4.t8,يسوع,,,
6.4.t9,المسيح,,,
6.4.t10,الى,,,
6.4.t11,نور,,,
6.4.t12,عظيم,,,
7.1.t1,قبل,,,
7.1.t2,ان,,,
7.1.t3,جاء,,,
7.1.t4,الى,,,
7.1.t5,بَلد,,,
7.1.t6,النصرانى,,,
7.1.t7,دينى,,,
7.1.t8,دين,,,
7.1.t9,محمد,,,
7.1.t10,رسول,,,
7.1.t11,الله,,,
7.1.t12,صلى,,,
7.1.t13,الله,,,
7.1.t14,عليه,,,
7.1.t15,وسلم,,,
7.2.t1,يمشى,,,
7.2.t2,إلى,,,
7.2.t3,المسجد,,,
7.2.t4,قبل,,,
7.2.t5,طلوع,,,
7.2.t6,الفجر,,,
7.2.t7,يغسل,,,
7.2.t8,وجه,,,
7.2.t9,ورعس,,,
7.2.t10,واليدين,,,
7.2.t11,ورجلين,,,
7.3.t1,يصلى,,,
7.3.t2,وقت,,,
7.3.t3,الظهر,,,
7.4.t1,يصل,,,
7.4.t2,وقت,,,
7.4.t3,البعض,,,
7.5.t1,يصلى,,,
7.5.t2,وقت,,,
7.5.t3,المغرب,,,
7.6.t1,يصلىى,,,
7.6.t2,وقت,,,
7.6.t3,العشاء,,,
7.7.t1,يصلى,,,
8.1.t1,اعطى,,,
8.1.t2,زكات,,,
8.1.t3,كل,,,
8.1.t4,سنة,,,
8.1.t5,وذهب,,,
8.1.t6,وفضة,,,
8.1.t7,وزرع,,,
8.1.t8,وبقر,,,
8.1.t9,وضعن,,,
8.1.t10,ومعز,,,
8.1.t11,او,,,
8.1.t12,لارز,,,
8.1.t13,وقمح,,,
8.1.t14,وصعير,,,
8.2.t1,كلهم,,,
8.2.t2,اعطى,,,
8.2.t3,زكات,,,
8.2.t4,يمشى,,,
8.2.t5,الى,,,
8.2.t6,الجهاد,,,
8.2.t7,كل,,,
8.2.t8,سنة,,,
8.2.t9,الى,,,
8.2.t10,الكفار,,,
8.3.t1,يمشى,,,
8.3.t2,الى,,,
8.3.t3,المكا,,,
8.3.t4,ومدينة,,,
8.3.t5,لمن,,,
8.3.t6,يستطيع,,,
9.1.t1,ابوك,,,
9.1.t2,يجد,,,
9.1.t3,ست,,,
9.1.t4,ولد,,,
9.1.t5,مع,,,
9.1.t6,خمس,,,
9.1.t7,بنت,,,
9.2.t1,وامى,,,
9.2.t2,ثلاث,,,
9.2.t3,ولد,,,
9.2.t4,وبنت,,,
9.2.t5,واحد,,,
9.3.t1,انى,,,
9.3.t2,يوم,,,
9.3.t3,تركت,,,
9.3.t4,من,,,
9.3.t5,بلدنا,,,
9.3.t6,سَنَتى,,,
9.3.t7,سبع,,,
9.3.t8,وثلاثين,,,
9.3.t9,سَنةً,,,
9.4.t1,مقام,,,
9.4.t2,من,,,
9.4.t3,البلد,,,
9.4.t4,نصرانى,,,
9.4.t5,اربع,,,
9.4.t6,وعشرين,,,
9.4.t7,سنة,,,
10.1.t1,فى,,,
10.1.t2,سَنَةِ,,,
10.1.t3,واحد,,,
10.1.t4,الف,,,
10.1.t5,مع,,,
10.1.t6,ثمانين,,,
10.1.t7,مائة,,,
10.1.t8,واحد,,,
10.1.t9,مع,,,
10.1.t10,ثلاثين,,,
10.1.t11,سنة,,,
10.1.t12,يسوع,,,
10.1.t13,المسيح,,,
11.1.t1,يا,,,
11.1.t2,اهل,,,
11.1.t3,نوف,,,
11.1.t4,ذالين,,,
11.1.t5,يا,,,
11.1.t6,اهل,,,
11.1.t7,سوف,,,
11.1.t8,ذاليلين,,,
11.1.t9,يا,,,
11.1.t10,اهل,,,
11.1.t11,مرْكن,,,
11.1.t12,كلهم,,,
11.2.t1,الاول,,,
11.2.t2,الولد,,,
11.2.t3,ذيم,,,
11.2.t4,عوين,,,
11.2.t5,يسمى,,,
11.2.t6,تامس,,,
11.2.t7,مع,,,
11.2.t8,اخوت,,,
11.2.t9,البنت,,,
11.2.t10,يسمى,,,
11.2.t11,مَاسَ,,,
11.2.t12,ذِيْنِ,,,
12.1.t1,هذا,,,
12.1.t2,الجيل,,,
12.1.t3,جيل,,,
12.1.t4,جيد,,,
12.1.t5,∵,,,
12.2.t1,تُومْ,,,
12.2.t2,عُوينْ,,,
12.2.t3,نَلِ,,,
12.2.t4,عُوينْ,,,
12.2.t5,تلد,,,
12.2.t6,اثنان,,,
12.2.t7,ولد,,,
12.2.t8,وبنت,,,
12.2.t9,واحد,,,
12.3.t1,ولد,,,
12.3.t2,الاول,,,
12.3.t3,يسمئ,,,
12.3.t4,ذيم,,,
12.3.t5,والاخر,,,
12.3.t6,ذون,,,
12.3.t7,وبنت,,,
12.3.t8,يسمئ,,,
12.3.t9,مُولْسِةْ,,,
12.4.t1,سيد,,,
12.4.t2,ذيم,,,
12.4.t3,وبتسه,,,
12.4.t4,جَوْزَتُهُ,,,
12.4.t5,عوين,,,
12.4.t6,تلد,,,
12.4.t7,اثنان,,,
12.4.t8,ولد,,,
12.4.t9,وخمس,,,
12.4.t10,بنات,,,
12.5.t1,الاول,,,
12.5.t2,تومْ,,,
12.5.t3,ذُونْ,,,
12.5.t4,وَمَاسَهْ,,,
12.5.t5,ومرْيَمَ,,,
12.5.t6,وسُفَايهْ,,,
12.5.t7,ومَاكِتْ,,,
12.5.t8,وَلَيْسَهْ,,,
12.6.t1,هَذَا,,,
12.6.t2,الجْيلُ,,,
12.6.t3,جَيلٌ,,,
12.6.t4,جيدٌ,,,
12.6.t5,جداً,,,
12.7.t1,وذون,,,
12.7.t2,عوين,,,
12.7.t3,زوجته,,,
12.7.t4,يسمئ,,,
12.7.t5,لوسه,,,
12.7.t6,زوجة,,,
12.7.t7,صالحة,,,
12.7.t8,تلد,,,
12.7.t9,ثلات,,,
12.7.t10,واثنان,,,
12.7.t11,والد,,,
12.8.t1,مات,,,
12.8.t2,ثلاث,,,
12.8.t3,وبقى,,,
12.8.t4,اثنان,,,
13.1.t1,يا,,,
13.1.t2,اهل,,,
13.1.t3,مركن,,,
13.1.t4,يا,,,
13.1.t5,اهل,,,
13.1.t6,نُوفْ,,,
13.1.t7,ذَالَيْن,,,
13.1.t8,هل,,,
13.1.t9,فيكم,,,
13.1.t10,هَل,,,
13.1.t11,فِيكُمْ,,,
13.1.t12,هَل,,,
13.1.t13,فِيكُمْ,,,
13.1.t14,هل,,,
13.1.t15,فِيكُمُ,,,
13.1.t16,اِلَى,,,
13.1.t17,الْجَيْلِ,,,
13.1.t18,الْجِيدِ,,,
13.1.t19,خَافُ,,,
13.1.t20,اللهَ,,,
13.1.t21,جِدًا,,,
14.1.t1,انى,,,
14.1.t2,عمر,,,
14.1.t3,يحب,,,
14.1.t4,يقرء,,,
14.1.t5,الكتاب,,,
14.1.t6,القراءان,,,
14.1.t7,العظيم,,,
14.2.t1,ذِنَلْ,,,
14.2.t2,ذِيم,,,
14.2.t3,عوين,,,
14.2.t4,مع,,,
14.2.t5,زوجته,,,
14.2.t6,∵,,,
14.2.t7,يقرء,,,
14.2.t8,الانجيل,,,
14.3.t1,يقرءنى,,,
14.3.t2,الانجيل,,,
14.3.t3,كثيرا,,,
14.3.t4,الله,,,
14.3.t5,ربنا,,,
14.3.t6,خالقنا,,,
14.3.t7,وما,,,
14.3.t8,لكنا,,,
14.3.t9,ومصلح,,,
14.3.t10,احوالنا,,,
14.3.t11,حالاومالا,,,
14.3.t12,فضلا,,,
14.3.t13,لا,,,
14.3.t14,وجوبا,,,
14.3.t15,ل,,,
14.3.t16,قدرته,,,
14.4.t1,افتح,,,
14.4.t2,قلبى,,,
14.4.t3,الى,,,
14.4.t4,الانجيل,,,
14.4.t5,الى,,,
14.4.t6,سبيل,,,
14.4.t7,الهدئ,,,
14.5.t1,الحمد,,,
14.5.t2,الله,,,
14.5.t3,رب,,,
14.5.t4,العلمين,,,
14.5.t5,حمدا,,,
14.5.t6,كثيرا,,,
14.6.t1,يوافر,,,
14.6.t2,من,,,
14.6.t3,النعم,,,
14.6.t4,ما,,,
14.6.t5,تزايد,,,
14.6.t6,من,,,
14.6.t7,الخير,,,
15.1.t1,من,,,
15.1.t2,اجل,,,
15.1.t3,ان,,,
15.1.t4,الشرع,,,
15.1.t5,بموسى,,,
15.1.t6,اعطى,,,
15.1.t7,والنعمة,,,
15.1.t8,والحق,,,
15.1.t9,كانا,,,
15.1.t10,بيسوع,,,
15.1.t11,المسيح,,,
15.1.t12,∵,,,
16.1.t1,الاول,,,
16.1.t2,محمد,,,
16.1.t3,ان,,,
16.1.t4,يصلى,,,
16.1.t5,قال,,,
16.1.t6,الحمد,,,
16.1.t7,الله,,,
16.1.t8,رب,,,
16.1.t9,العلمين,,,
16.1.t10,الرحمن,,,
16.1.t11,الرحيم,,,
16.1.t12,ملك,,,
16.1.t13,يوم,,,
16.1.t14,الدين,,,
16.1.t15,اياك,,,
16.1.t16,بعبد,,,
16.1.t17,واياك,,,
16.1.t18,نستعين,,,
16.1.t19,∵,,,
16.2.t1,اهدنا,,,
16.2.t2,الصراط,,,
16.2.t3,المستقيم,,,
16.2.t4,صراط,,,
16.2.t5,الذين,,,
16.2.t6,انعمت,,,
16.2.t7,عليهم,,,
16.2.t8,غير,,,
16.2.t9,المعضوب,,,
16.2.t10,عليهم,,,
16.2.t11,ولا,,,
16.2.t12,الضالين,,,
16.2.t13,ء,,,
16.3.t1,ءامين∵,,,
17.1.t1,والان,,,
17.1.t2,يصلى,,,
17.1.t3,قول,,,
17.1.t4,ربنا,,,
17.1.t5,يسوع,,,
17.1.t6,المسيح,,,
17.2.t1,يا,,,
17.2.t2,ابانا,,,
17.2.t3,الذى,,,
17.2.t4,فى,,,
17.2.t5,السموات,,,
17.2.t6,يتقدس,,,
17.2.t7,اسمك,,,
17.2.t8,تاتى,,,
17.3.t1,ملكوتك,,,
17.3.t2,تكون,,,
17.3.t3,مشيتك,,,
17.3.t4,كما,,,
17.3.t5,فى,,,
17.3.t6,السماء,,,
17.3.t7,وعلى,,,
17.3.t8,الارض,,,
17.4.t1,خبزن,,,
17.4.t2,الذا,,,
17.4.t3,للقدى,,,
17.4.t4,اعطنا,,,
17.4.t5,اليوم,,,
17.4.t6,واغفر,,,
17.4.t7,لنا,,,
17.4.t8,ما,,,
17.4.t9,علينا,,,
17.4.t10,كما,,,
17.4.t11,نغفر,,,
17.4.t12,نحن,,,
17.4.t13,لمن,,,
17.4.t14,لنا,,,
17.4.t15,عليه,,,
17.5.t1,ولا,,,
17.5.t2,تدخلنا,,,
17.5.t3,التجارب,,,
17.5.t4,لكن,,,
17.5.t5,نجنا,,,
17.5.t6,من,,,
17.5.t7,الشرير,,,
17.6.t1,فان,,,
17.6.t2,لك,,,
17.6.t3,الملك,,,
17.6.t4,والقوة,,,
17.6.t5,والمجد,,,
17.6.t6,الى,,,
17.6.t7,الابد,,,
17.7.t1,ءامين,,,
18.1.t1,انى,,,
18.1.t2,مقام,,,
18.1.t3,فى,,,
18.1.t4,بلدنا,,,
18.1.t5,بسبب,,,
18.1.t6,الضرر,,,
18.1.t7,العظيم,,,
18.2.t1,اخذ,,,
18.2.t2,الكفار,,,
18.2.t3,ظلما,,,
18.2.t4,باعوا,,,
18.2.t5,الى,,,
18.2.t6,يد,,,
18.2.t7,النصرانىّ,,,
18.3.t1,اشترى,,,
18.3.t2,يمشى,,,
18.3.t3,الى,,,
18.3.t4,البحر,,,
18.3.t5,الكبير,,,
18.3.t6,شهر,,,
18.3.t7,ونصف,,,
18.3.t8,شهر,,,
18.3.t9,الى,,,
18.3.t10,مكان,,,
18.3.t11,يسمى,,,
18.3.t12,ذالستن,,,
18.3.t13,فى,,,
18.3.t14,كلام,,,
18.3.t15,النصرنى,,,
18.4.t1,انى,,,
18.4.t2,سقت,,,
18.4.t3,فى,,,
18.4.t4,اليد,,,
18.4.t5,رِجَيْلٌ,,,
18.4.t6,صغيرٌ,,,
18.4.t7,ضعينٌ,,,
18.4.t8,سوء,,,
18.4.t9,لا,,,
18.4.t10,خاف,,,
18.4.t11,الله,,,
18.4.t12,شرء,,,
18.4.t13,لا,,,
18.4.t14,يقرء,,,
18.4.t15,لا,,,
18.4.t16,يصلى,,,
18.5.t1,انى,,,
18.5.t2,خاف,,,
18.5.t3,ان,,,
18.5.t4,يثبت,,,
18.5.t5,رجيل,,,
18.5.t6,سوء,,,
18.5.t7,كثير,,,
18.5.t8,ذنوب,,,
18.6.t1,اني,,,
18.6.t2,يفر,,,
18.6.t3,الى,,,
18.6.t4,شهراء,,,
18.7.t1,الله,,,
18.7.t2,ربنا,,,
18.7.t3,يفد,,,
18.7.t4,منا,,,
18.7.t5,الى,,,
18.7.t6,يد,,,
18.7.t7,رجل,,,
18.7.t8,صالح,,,
18.7.t9,خاف,,,
18.7.t10,الله,,,
18.7.t11,يحب,,,
18.7.t12,يعمل,,,
18.7.t13,عملا,,,
18.7.t14,صالحا,,,
18.8.t1,يسمى,,,
18.8.t2,ذِنَلْ,,,
18.8.t3,ذِيمْ,,,
18.8.t4,عُوينْ,,,
18.9.t1,مع,,,
18.9.t2,اخوتهم,,,
18.9.t3,يسمى,,,
18.9.t4,كَمُنَهْ,,,
18.9.t5,ذونْ,,,
18.9.t6,عُويِنْ,,,
18.10.t1,هذا,,,
18.10.t2,رَجليْنِ,,,
18.10.t3,صَالحَينِ,,,
18.11.t1,انى,,,
18.11.t2,بثبت,,,
18.11.t3,فى,,,
18.11.t4,مَكَانٍ,,,
18.11.t5,بليدٍ,,,
18.11.t6,كَوْتٍ,,,
19.1.t1,انى,,,
19.1.t2,ثبت,,,
19.1.t3,فى,,,
19.1.t4,اليد,,,
19.1.t5,ذيم,,,
19.1.t6,عوين,,,
19.2.t1,لا,,,
19.2.t2,يضرب,,,
19.3.t1,لا,,,
19.3.t2,ستمر,,,
19.4.t1,لا,,,
19.4.t2,جوع,,,
19.5.t1,لا,,,
19.5.t2,عرو,,,
19.6.t1,لا,,,
19.6.t2,عمل,,,
19.6.t3,شديد,,,
19.6.t4,انى,,,
19.6.t5,لا,,,
19.6.t6,يستطيع,,,
19.6.t7,ان,,,
19.6.t8,يعمل,,,
19.6.t9,عملا,,,
19.6.t10,شديدا,,,
19.6.t11,انى,,,
19.6.t12,رجل,,,
19.6.t13,صغير,,,
19.6.t14,مريض,,,
19.7.t1,ثبت,,,
19.7.t2,عشرين,,,
19.7.t3,سنة,,,
19.7.t4,لا,,,
19.7.t5,يرى,,,
19.7.t6,ضرر,,,
19.7.t7,شىء,,,
19.7.t8,من,,,
19.7.t9,يد,,,
19.7.t10,ذيم,,,
19.7.t11,عوين,,,
