value,word_value,space_after,position,ve_ref,idx
κατάσκοποι,κατάσκοποι,,8,11.t8,299
σπλάγχνοις,σπλάγχνοις,,9,11.t9,300
πατρικοῖς,πατρικοῖς,,10,11.t10,301
κινουμένων,κινουμένων,,11,11.t11,302
καί,καί,false,12,11.t12,303
",",",",,13,11.t13,304
ὅ,ὅ,,14,11.t14,305
φησιν,φησιν,,15,11.t15,306
ὁ,ὁ,,16,11.t16,307
θεῖος,θεῖος,,17,11.t17,308
‘Ιερεμίας,‘Ιερεμίας,false,18,11.t18,309
",",",",,19,11.t19,310
σπαρασσομένων,σπαρασσομένων,,20,11.t20,311
τὰ,τὰ,,21,11.t21,312
αἰσθητήρια,αἰσθητήρια,false,22,11.t22,313
",",",",,23,11.t23,314
ὅσον,ὅσον,,24,11.t24,315
μὴ,μὴ,,25,11.t25,316
τραχέως,τραχέως,,26,11.t26,317
τὸν,τὸν,,27,11.t27,318
περὶ,περὶ,,28,11.t28,319
τούτων,τούτων,,29,11.t29,320
δέξασθαι,δέξασθαι,,30,11.t30,321
λόγον,λόγον,false,31,11.t31,322
",",",",,32,11.t32,323
καὶ,καὶ,,33,11.t33,324
τὴν,τὴν,,34,11.t34,325
γλῶσσαν,γλῶσσαν,,35,11.t35,326
μικρὸν,μικρὸν,,36,11.t36,327
ἐπισχόντες,ἐπισχόντες,false,37,11.t37,328
",",",",,38,11.t38,329
ἂν,ἂν,,39,11.t39,330
ἄρα,ἄρα,,40,11.t40,331
καὶ,καὶ,,41,11.t41,332
δύνωνται,δύνωνται,false,42,11.t42,333
",",",",,43,11.t43,334
τὴν,τὴν,,44,11.t44,335
ἀκοὴν,ἀκοὴν,,45,11.t45,336
ἡμῖν,ἡμῖν,,46,11.t46,337
ὑποθέτωσαν,ὑποθέτωσαν,false,47,11.t47,338
.,.,,48,11.t48,339
πάντως,πάντως,,1,12.t1,340
δὲ,δὲ,,2,12.t2,341
οὐδὲν,οὐδὲν,,3,12.t3,342
ζημιωθήσεσθε,ζημιωθήσεσθε,false,4,12.t4,343
.,.,,5,12.t5,344
ἢ,ἢ,,1,13.t1,345
γὰρ,γὰρ,,2,13.t2,346
εἰς,εἰς,,3,13.t3,347
ὦτα,ὦτα,,4,13.t4,348
ἐλαλήσαμεν,ἐλαλήσαμεν,,5,13.t5,349
ἀκουόντων,ἀκουόντων,false,6,13.t6,350
",",",",,7,13.t7,351
καί,καί,,8,13.t8,352
τινα,τινα,,9,13.t9,353
καρπὸν,καρπὸν,,10,13.t10,354
ἔσχεν,ἔσχεν,,11,13.t11,355
ὁ,ὁ,,12,13.t12,356
λόγος,λόγος,false,13,13.t13,357
",",",",,14,13.t14,358
τὴν,τὴν,,15,13.t15,359
ὠφέλειαν,ὠφέλειαν,,16,13.t16,360
τὴν,τὴν,,17,13.t17,361
ὑμετέραν,ὑμετέραν,false,18,13.t18,362
",",",",false,19,13.t19,363
—,—,,20,13.t20,364
ἐπειδὴ,ἐπειδὴ,,21,13.t21,365
σπείρει,σπείρει,,22,13.t22,366
μὲν,μὲν,,23,13.t23,367
ὁ,ὁ,,24,13.t24,368
σπείρων,σπείρων,,25,13.t25,369
τὸν,τὸν,,26,13.t26,370
λόγον,λόγον,,27,13.t27,371
ἐπὶ,ἐπὶ,,28,13.t28,372
πᾶσαν,πᾶσαν,,29,13.t29,373
διάνοιαν,διάνοιαν,false,30,13.t30,374
",",",",,31,13.t31,375
καρποφορεῖ,καρποφορεῖ,,32,13.t32,376
δὲ,δὲ,,33,13.t33,377
ἡ,ἡ,,34,13.t34,378
καλή,καλή,,35,13.t35,379
τε,τε,,36,13.t36,380
καὶ,καὶ,,37,13.t37,381
γόνιμος,γόνιμος,false,38,13.t38,382
",",",",,39,13.t39,383
—,—,,40,13.t40,384
ἢ,ἢ,,41,13.t41,385
ἀπήλθετε,ἀπήλθετε,,42,13.t42,386
καὶ,καὶ,,43,13.t43,387
τοῦτο,τοῦτο,,44,13.t44,388
ἡμῶν,ἡμῶν,,45,13.t45,389
διαπτύσαντες,διαπτύσαντες,false,46,13.t46,390
",",",",,47,13.t47,391
καὶ,καὶ,,48,13.t48,392
πλείονα,πλείονα,,49,13.t49,393
λαβόντες,λαβόντες,,50,13.t50,394
ὕλην,ὕλην,,51,13.t51,395
ἀντιλογίας,ἀντιλογίας,,52,13.t52,396
τε,τε,,53,13.t53,397
καὶ,καὶ,,54,13.t54,398
τῆς,τῆς,,55,13.t55,399
καθ’,καθ’,,56,13.t56,400
ἡμῶν,ἡμῶν,,57,13.t57,401
λοιδορίας,λοιδορίας,false,58,13.t58,402
",",",",,59,13.t59,403
ἵνα,ἵνα,,60,13.t60,404
καὶ,καὶ,,61,13.t61,405
μᾶλλον,μᾶλλον,,62,13.t62,406
ὑμᾶς,ὑμᾶς,,63,13.t63,407
αὐτοὺς,αὐτοὺς,,64,13.t64,408
ἑστιάσητε,ἑστιάσητε,false,65,13.t65,409
.,.,,66,13.t66,410
μὴ,μὴ,,1,14.t1,411
θαυμάσητε,θαυμάσητε,,2,14.t2,412
δέ,δέ,false,3,14.t3,413
",",",",,4,14.t4,414
εἰ,εἰ,,5,14.t5,415
παράδοξον,παράδοξον,,6,14.t6,416
ἐρῶ,ἐρῶ,,7,14.t7,417
λόγον,λόγον,false,8,14.t8,418
",",",",,9,14.t9,419
καὶ,καὶ,,10,14.t10,420
παρὰ,παρὰ,,11,14.t11,421
τὸν,τὸν,,12,14.t12,422
ὑμέτερον,ὑμέτερον,,13,14.t13,423
νόμον,νόμον,false,14,14.t14,424
",",",",,15,14.t15,425
οἳ,οἳ,,16,14.t16,426
πάντα,πάντα,,17,14.t17,427
εἰδέναι,εἰδέναι,,18,14.t18,428
τε,τε,,19,14.t19,429
καὶ,καὶ,,20,14.t20,430
διδάσκειν,διδάσκειν,,21,14.t21,431
ὑπισχνεῖσθε,ὑπισχνεῖσθε,,22,14.t22,432
λίαν,λίαν,,23,14.t23,433
νεανικῶς,νεανικῶς,,24,14.t24,434
καὶ,καὶ,,25,14.t25,435
γενναίως,γενναίως,false,26,14.t26,436
",",",",,27,14.t27,437
ἵνα,ἵνα,,28,14.t28,438
μὴ,μὴ,,29,14.t29,439
λυπῶ,λυπῶ,,30,14.t30,440
λέγων,λέγων,,31,14.t31,441
ἀμαθῶς,ἀμαθῶς,,32,14.t32,442
καὶ,καὶ,,33,14.t33,443
θρασέως,θρασέως,false,34,14.t34,444
.,.,,35,14.t35,445
Οὐ,Οὐ,,1,15.t1,446
παντός,παντός,false,2,15.t2,447
",",",",,3,15.t3,448
ὦ,ὦ,,4,15.t4,449
οὗτοι,οὗτοι,false,5,15.t5,450
",",",",,6,15.t6,451
τὸ,τὸ,,7,15.t7,452
περὶ,περὶ,,8,15.t8,453
θεοῦ,θεοῦ,,9,15.t9,454
φιλοσοφεῖν,φιλοσοφεῖν,false,10,15.t10,455
",",",",,11,15.t11,456
οὐ,οὐ,,12,15.t12,457
παντός,παντός,false,13,15.t13,458
·,·,,14,15.t14,459
οὐχ,οὐχ,,1,16.t1,460
οὕτω,οὕτω,,2,16.t2,461
τὸ,τὸ,,3,16.t3,462
πρᾶγμα,πρᾶγμα,,4,16.t4,463
εὔωνον,εὔωνον,,5,16.t5,464
καὶ,καὶ,,6,16.t6,465
τῶν,τῶν,,7,16.t7,466
χαμαὶ,χαμαὶ,,8,16.t8,467
ἐρχομένων,ἐρχομένων,false,9,16.t9,468
.,.,,10,16.t10,469
προσθήσω,προσθήσω,,1,17.t1,470
δέ,δέ,false,2,17.t2,471
",",",",,3,17.t3,472
οὐδὲ,οὐδὲ,,4,17.t4,473
πάντοτε,πάντοτε,false,5,17.t5,474
",",",",,6,17.t6,475
οὐδὲ,οὐδὲ,,7,17.t7,476
πᾶσιν,πᾶσιν,false,8,17.t8,477
",",",",,9,17.t9,478
οὐδὲ,οὐδὲ,,10,17.t10,479
πάντα,πάντα,false,11,17.t11,480
",",",",,12,17.t12,481
ἀλλ’,ἀλλ’,,13,17.t13,482
ἔστιν,ἔστιν,,14,17.t14,483
ὅτε,ὅτε,false,15,17.t15,484
",",",",,16,17.t16,485
καὶ,καὶ,,17,17.t17,486
οἷς,οἷς,false,18,17.t18,487
",",",",,19,17.t19,488
καὶ,καὶ,,20,17.t20,489
ἐφ’,ἐφ’,,21,17.t21,490
ὅσον,ὅσον,false,22,17.t22,491
.,.,,23,17.t23,492
οὐ,οὐ,,1,18.t1,493
πάντων,πάντων,,2,18.t2,494
μέν,μέν,false,3,18.t3,495
",",",",,4,18.t4,496
ὅτι,ὅτι,,5,18.t5,497
τῶν,τῶν,,6,18.t6,498
ἐξητασμένων,ἐξητασμένων,,7,18.t7,499
καὶ,καὶ,,8,18.t8,500
διαβεβηκότων,διαβεβηκότων,,9,18.t9,501
ἐν,ἐν,,10,18.t10,502
θεωρίᾳ,θεωρίᾳ,false,11,18.t11,503
",",",",,12,18.t12,504
καὶ,καὶ,,13,18.t13,505
πρὸ,πρὸ,,14,18.t14,506
τούτων,τούτων,,15,18.t15,507
καὶ,καὶ,,16,18.t16,508
ψυχὴν,ψυχὴν,,17,18.t17,509
καὶ,καὶ,,18,18.t18,510
σῶμα,σῶμα,,19,18.t19,511
κεκαθαρμένων,κεκαθαρμένων,false,20,18.t20,512
",",",",,21,18.t21,513
ἢ,ἢ,,22,18.t22,514
καθαιρομένων,καθαιρομένων,false,23,18.t23,515
",",",",,24,18.t24,516
τὸ,τὸ,,25,18.t25,517
μετριώτατον,μετριώτατον,false,26,18.t26,518
.,.,,27,18.t27,519
μὴ,μὴ,,1,19.t1,520
καθαρῷ,καθαρῷ,,2,19.t2,521
γὰρ,γὰρ,,3,19.t3,522
ἅπτεσθαι,ἅπτεσθαι,,4,19.t4,523
καθαροῦ,καθαροῦ,,5,19.t5,524
τυχὸν,τυχὸν,,6,19.t6,525
οὐδὲ,οὐδὲ,,7,19.t7,526
ἀσφαλές,ἀσφαλές,false,8,19.t8,527
",",",",,9,19.t9,528
ὥσπερ,ὥσπερ,,10,19.t10,529
οὐδὲ,οὐδὲ,,11,19.t11,530
ὄψει,ὄψει,,12,19.t12,531
σαθρᾷ,σαθρᾷ,,13,19.t13,532
ἡλιακῆς,ἡλιακῆς,,14,19.t14,533
ἀκτῖνος,ἀκτῖνος,false,15,19.t15,534
.,.,,16,19.t16,535
ὅτε,ὅτε,,1,20.t1,536
δέ,δέ,false,2,20.t2,537
;,;,,3,20.t3,538
ἡνίκα,ἡνίκα,,1,21.t1,539
ἂν,ἂν,,2,21.t2,540
σχολὴν,σχολὴν,,3,21.t3,541
ἄγωμεν,ἄγωμεν,,4,21.t4,542
ἀπὸ,ἀπὸ,,5,21.t5,543
τῆς,τῆς,,6,21.t6,544
ἔξωθεν,ἔξωθεν,,7,21.t7,545
ἰλύος,ἰλύος,,8,21.t8,546
καὶ,καὶ,,9,21.t9,547
ταραχῆς,ταραχῆς,false,10,21.t10,548
",",",",,11,21.t11,549
καὶ,καὶ,,12,21.t12,550
μὴ,μὴ,,13,21.t13,551
τὸ,τὸ,,14,21.t14,552
ἡγεμονικὸν,ἡγεμονικὸν,,15,21.t15,553
ἡμῶν,ἡμῶν,,16,21.t16,554
συγχέηται,συγχέηται,,17,21.t17,555
τοῖς,τοῖς,,18,21.t18,556
μοχθηροῖς,μοχθηροῖς,,19,21.t19,557
τύποις,τύποις,,20,21.t20,558
καὶ,καὶ,,21,21.t21,559
πλανωμένοις,πλανωμένοις,false,22,21.t22,560
",",",",,23,21.t23,561
οἷον,οἷον,,24,21.t24,562
γράμμασι,γράμμασι,,25,21.t25,563
πονηροῖς,πονηροῖς,,26,21.t26,564
ἀναμιγνύντων,ἀναμιγνύντων,,27,21.t27,565
κάλλη,κάλλη,,28,21.t28,566
γραμμάτων,γραμμάτων,false,29,21.t29,567
",",",",,30,21.t30,568
ἢ,ἢ,,31,21.t31,569
βορβόρῳ,βορβόρῳ,,32,21.t32,570
μύρων,μύρων,,33,21.t33,571
εὐωδίαν,εὐωδίαν,false,34,21.t34,572
.,.,,35,21.t35,573
δεῖ,δεῖ,,1,22.t1,574
γὰρ,γὰρ,,2,22.t2,575
τῷ,τῷ,,3,22.t3,576
ὄντι,ὄντι,,4,22.t4,577
σχολάσαι,σχολάσαι,false,5,22.t5,578
",",",",,6,22.t6,579
καὶ,καὶ,,7,22.t7,580
γνῶναι,γνῶναι,,8,22.t8,581
θεόν,θεόν,false,9,22.t9,582
·,·,,10,22.t10,583
καὶ,καὶ,,1,23.t1,584
ὅταν,ὅταν,,2,23.t2,585
λάβωμεν,λάβωμεν,,3,23.t3,586
καιρόν,καιρόν,false,4,23.t4,587
",",",",,5,23.t5,588
κρίνειν,κρίνειν,,6,23.t6,589
θεολογίας,θεολογίας,,7,23.t7,590
εὐθύτητα,εὐθύτητα,false,8,23.t8,591
.,.,,9,23.t9,592
τίσι,τίσι,,1,24.t1,593
δέ,δέ,false,2,24.t2,594
;,;,,3,24.t3,595
οἷς,οἷς,,1,25.t1,596
τὸ,τὸ,,2,25.t2,597
πρᾶγμα,πρᾶγμα,,3,25.t3,598
διὰ,διὰ,,4,25.t4,599
σπουδῆς,σπουδῆς,false,5,25.t5,600
",",",",,6,25.t6,601
καὶ,καὶ,,7,25.t7,602
οὐχ,οὐχ,,8,25.t8,603
ὡς,ὡς,,9,25.t9,604
ἕν,ἕν,,10,25.t10,605
τι,τι,,11,25.t11,606
τῶν,τῶν,,12,25.t12,607
ἄλλων,ἄλλων,,13,25.t13,608
καὶ,καὶ,,14,25.t14,609
τοῦτο,τοῦτο,,15,25.t15,610
φλυαρεῖται,φλυαρεῖται,,16,25.t16,611
ἡδέως,ἡδέως,false,17,25.t17,612
",",",",,18,25.t18,613
μετὰ,μετὰ,,19,25.t19,614
τοὺς,τοὺς,,20,25.t20,615
ἱππικούς,ἱππικούς,false,21,25.t21,616
",",",",,22,25.t22,617
καὶ,καὶ,,23,25.t23,618
τὰ,τὰ,,24,25.t24,619
θέατρα,θέατρα,false,25,25.t25,620
",",",",,26,25.t26,621
καὶ,καὶ,,27,25.t27,622
τὰ,τὰ,,28,25.t28,623
ᾄσματα,ᾄσματα,false,29,25.t29,624
",",",",,30,25.t30,625
καὶ,καὶ,,31,25.t31,626
τὴν,τὴν,,32,25.t32,627
γαστέρα,γαστέρα,false,33,25.t33,628
",",",",,34,25.t34,629
καὶ,καὶ,,35,25.t35,630
τὰ,τὰ,,36,25.t36,631
ὑπὸ,ὑπὸ,,37,25.t37,632
